fid;code_offic;nom_offici;arbo_prc;arbo_za;arbo_epza;arbo_zu;arbo_epzu;arbu_prc;arbu_za;arbu_epza;arbu_zu;arbu_epzu;herb_prc;herb_za;herb_epza;herb_zu;herb_epzu;tot_arbo;tot_arbu;tot_herb;prct_arbo;prct_arbu;prct_herb;tot_arboru_pub_za;tot_arboru_pub_zu;tot_arboru_pv_za;tot_arboru_pv_zu;tot_arboru_parcs;prct_arboru_pub_za;prct_arboru_pub_zu;prct_arboru_pv_za;prct_arboru_pv_zu;prct_arboru_parcs;s_veg_tot;prct_veg_tot;s_arboru;prct_arboru;prct_hors_tt;co2_pi_ok;es_25_ok;es25_ok;cos_avg_ok;txrboru_ok;co2_pi;es25_pi;pot_ss_oc_dp;pot_df;pot_df_plhg_cms;pot_ext;cos_avg;txarboru_avg
23;13012;Beaurecueil;0;0;0;2.66;0.21;0;0;0;1.41;0.05;0;0;0;2.39;0.19;2.66;1.41;2.39;25.82249122509556;13.68786188999426;23.20141128871368;0;0.26;0;3.81;0;0;6.39;0;93.61;0;6.46;62.66;4.07;39.48;37.2882355961965;2.45;2309;2309;0.2;39;2.4479998091198305;2309.180882290562;60;0;3;0;0.220625;38.7665625
43;13008;Aurons;0.02;0;0;5.15;0.95;0.02;0;0;3.53;0.28;0.01;0;0;2.15;0.26;5.17;3.55;2.16;23.319237797258456;16.01224258805948;9.742660278931966;0;1.23;0;7.45;0.04;0;14.11;0;85.44;0.46;10.88;49.05;8.72;39.31;50.925859335750104;2.36;2146;2146;0.3;30;2.356579928888889;2145.8670257777776;68;0;0;62;0.333622448979592;30.064285714285713
54;13115;Vernègues;0;0;0;20.67;1.6;0;0;0;12.62;0.65;0;0;0;19.1;0.95;20.67;12.62;19.1;19.675524852115267;12.012826494131332;18.181060700309704;0;2.25;0;31.04;0;0;6.76;0;93.24;0;52.39;49.84;33.29;31.67;50.130587953443694;2.45;2192;2192;0.2;27;2.4463974552429666;2191.7822506393863;115;0;0;0;0.21126466753585393;26.549791395045634
58;13009;La Barben;0.27;0;0;10.5;0.89;0.01;0;0;6.63;0.11;0.05;0;0;12.01;0.51;10.77;6.64;12.06;22.336112011884374;13.77082486155174;25.011468046734038;0;1;0;16.13;0.28;0;5.74;0;92.65;1.61;29.47;61.08;17.41;36.09;38.88159507982986;2.48;2313;2313;0.2;35;2.479395610804174;2313.2070423572745;112;0;0;45;0.17595588235294116;34.62665441176471
59;13206;Marseille 6e Arrondissement;1.44;0;0;17.55;5.7;0.35;0;0;6.74;0.96;0.49;0;0;12.3;2.97;18.99;7.09;12.79;9.508899578421246;3.550189468720729;6.404361538073077;0;6.66;0;17.63;1.79;0;25.54;0;67.6;6.86;38.87;19.44;26.08;13.04;80.53654941478494;1.22;1235;1235;2.2;9;1.2240919080532657;1234.9881121623334;956;1166;12;0;2.2026371719800504;8.8997614400347
48;13024;Charleval;0.79;0.02;0.01;12.7;1.47;0.1;0;0;10.46;0.59;0.18;0.01;0;10.45;0.58;13.51;10.56;10.64;15.518234880625565;12.12972319314626;12.22161503551858;0.01;2.06;0.01;21.1;0.89;0.04;8.56;0.04;87.66;3.7;34.71;39.85;24.07;27.64;60.1304268907096;2.21;1969;1969;0.5;19;2.213308042375951;1968.9508953277798;601;0;42;128;0.5295666305525462;18.757930660888405
72;13090;Saint-Antonin-sur-Bayon;0.08;0.03;0;0.22;0.02;0.02;0.01;0;0.09;0.01;0.01;0.09;0;0.14;0.01;0.33;0.12;0.24;20.562618688169547;7.4773158866071086;14.954631773214217;0;0.03;0.04;0.28;0.1;0;6.67;8.89;62.22;22.22;0.69;42.96;0.45;28.02;57.00543365200913;2.44;2099;2099;0.3;32;2.4415319512195124;2099.0110975609755;23;0;5;0;0.3416666666666666;31.503333333333334
41;13111;Vauvenargues;0.28;0.11;0;1.6;0.15;0.06;0.09;0;1.22;0.07;0.04;0.09;0;1.78;0.16;1.99;1.37;1.91;18.988833707182373;13.072714662733596;18.22546350789866;0;0.22;0.2;2.6;0.34;0;6.55;5.95;77.38;10.12;5.27;50.25;3.36;32.04;49.712988122185365;2.67;2237;2237;1.1;20;2.6660291211146836;2236.962;120;0;0;20;1.0679259259259257;20.014814814814816
12;13003;Alleins;0.2;0.34;0;18.01;1.1;0.18;0.12;0;12.89;0.55;0.19;1.49;0;13.93;0.72;18.55;13.19;15.61;18.407779776187105;13.088874137353526;15.490320339961222;0;1.65;0.46;29.25;0.38;0;5.2;1.45;92.16;1.2;47.35;46.96;31.74;31.48;53.01302574649816;2.37;2168;2168;0.4;23;2.3683173450650346;2168.2705068859987;611;72;25;15;0.43708677685950414;22.58959710743801
77;13201;Marseille 1er Arrondissement;0.18;0.38;0.01;9.6;4.72;0.04;0.39;0.01;2.23;0.53;0.37;0.28;0;7.56;3.59;10.16;2.66;8.21;5.715129455477196;1.496283892870998;4.6182296091995845;0.02;5.25;0.75;6.58;0.22;0.16;40.95;5.85;51.33;1.72;21.03;11.82;12.82;7.2;88.17035704245222;1.04;1082;1082;3;4;1.043661797670694;1081.8426377447092;467;1122;114;0;2.9982141863699563;3.875385257301809
